fecha,hora,nivel,riesgo,temperatura
2018-01-09,15:00,0.6894m,No hay riesgo,8.93ºC
2018-01-09,14:50,0.7072m,No hay riesgo,8.92ºC
2018-01-09,14:40,0.728m,No hay riesgo,8.91ºC
2018-01-09,14:30,0.7607m,No hay riesgo,8.91ºC
2018-01-09,14:20,0.7936m,No hay riesgo,8.92ºC
2018-01-09,14:10,0.83m,No hay riesgo,8.91ºC
2018-01-09,14:00,0.863m,No hay riesgo,8.9ºC
2018-01-09,13:50,0.903m,No hay riesgo,8.9ºC
2018-01-09,13:40,0.945m,No hay riesgo,8.91ºC
2018-01-09,13:30,0.998m,No hay riesgo,8.91ºC
2018-01-09,13:20,1.041m,No hay riesgo,8.91ºC
2018-01-09,13:10,1.086m,No hay riesgo,8.9ºC
2018-01-09,13:00,1.135m,No hay riesgo,8.9ºC
2018-01-09,12:50,1.183m,No hay riesgo,8.91ºC
2018-01-09,12:40,1.236m,No hay riesgo,8.92ºC
2018-01-09,12:30,1.279m,No hay riesgo,8.92ºC
2018-01-09,12:20,1.32m,No hay riesgo,8.93ºC
2018-01-09,12:10,1.36m,No hay riesgo,8.93ºC
2018-01-09,12:00,1.397m,No hay riesgo,8.93ºC
2018-01-09,11:50,1.432m,No hay riesgo,8.94ºC
2018-01-09,11:40,1.471m,No hay riesgo,8.94ºC
2018-01-09,11:30,1.498m,No hay riesgo,8.94ºC
2018-01-09,11:20,1.517m,No hay riesgo,8.94ºC
2018-01-09,11:10,1.544m,No hay riesgo,8.95ºC
2018-01-09,11:00,1.557m,No hay riesgo,8.97ºC
2018-01-09,10:50,1.571m,No hay riesgo,8.99ºC
2018-01-09,10:40,1.576m,No hay riesgo,9.01ºC
2018-01-09,10:30,1.574m,No hay riesgo,9.02ºC
2018-01-09,10:20,1.569m,No hay riesgo,9.03ºC
2018-01-09,10:10,1.559m,No hay riesgo,9.04ºC
2018-01-09,10:00,1.547m,No hay riesgo,9.04ºC
2018-01-09,09:50,1.52m,No hay riesgo,9.05ºC
2018-01-09,09:40,1.49m,No hay riesgo,9.06ºC
2018-01-09,09:30,1.458m,No hay riesgo,9.07ºC
2018-01-09,09:20,1.425m,No hay riesgo,9.07ºC
2018-01-09,09:10,1.379m,No hay riesgo,9.09ºC
2018-01-09,09:00,1.34m,No hay riesgo,9.11ºC
2018-01-09,08:50,1.284m,No hay riesgo,9.11ºC
2018-01-09,08:40,1.217m,No hay riesgo,9.14ºC
2018-01-09,08:30,1.152m,No hay riesgo,9.18ºC
2018-01-09,08:20,1.084m,No hay riesgo,9.22ºC
2018-01-09,08:10,1.009m,No hay riesgo,9.27ºC
2018-01-09,08:00,0.937m,No hay riesgo,9.33ºC
2018-01-09,07:50,0.853m,No hay riesgo,9.4ºC
2018-01-09,07:40,0.7842m,No hay riesgo,9.46ºC
2018-01-09,07:30,0.7236m,No hay riesgo,9.47ºC
2018-01-09,07:20,0.691m,No hay riesgo,9.47ºC
2018-01-09,07:10,0.662m,No hay riesgo,9.48ºC
2018-01-09,07:00,0.6541m,No hay riesgo,9.48ºC
2018-01-09,06:50,0.6595m,No hay riesgo,9.48ºC
2018-01-09,06:40,0.657m,No hay riesgo,9.47ºC
2018-01-09,06:30,0.6502m,No hay riesgo,9.47ºC
2018-01-09,06:20,0.656m,No hay riesgo,9.45ºC
2018-01-09,06:10,0.6557m,No hay riesgo,9.45ºC
2018-01-09,06:00,0.658m,No hay riesgo,9.45ºC
2018-01-09,05:50,0.659m,No hay riesgo,9.45ºC
2018-01-09,05:40,0.6633m,No hay riesgo,9.45ºC
2018-01-09,05:30,0.6633m,No hay riesgo,9.44ºC
2018-01-09,05:20,0.6639m,No hay riesgo,9.44ºC
2018-01-09,05:10,0.6631m,No hay riesgo,9.43ºC
2018-01-09,05:00,0.6666m,No hay riesgo,9.43ºC
2018-01-09,04:50,0.6658m,No hay riesgo,9.43ºC
2018-01-09,04:40,0.6699m,No hay riesgo,9.43ºC
2018-01-09,04:30,0.6761m,No hay riesgo,9.42ºC
2018-01-09,04:20,0.682m,No hay riesgo,9.41ºC
2018-01-09,04:10,0.6856m,No hay riesgo,9.42ºC