Nombre,PlazasRotatorias,Tipo,PlazasResidentes,PlazasTotales,PlazasResidentesLibres,PlazasRotatoriasLibres,Precios,Latitud,Longitud,Precios-Coste,Precios-Tiempo,parkings-uri,parkings-fares-uri,fare1-uri,fare2-uri,fares-price1-uri,fares-time1-uri,fares-price2-uri,fares-time2-uri
Antiguo Berri,489,Rotatorio,0,489,0,179,15 min:0.60;30 min:1.35;60 min:2.25;90 min:3.10;120 min:4.10;180 min:6;300 min:9.15;300 min:14.55;300 min:15.85;300 min:15.85;,43.310188,-2.007963,0.60,15,http://opendata.eurohelp.es/id/Parkings/Antiguo-Berri-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare1/Antiguo-Berri,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare2/Antiguo-Berri,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Antiguo-Berri/fare2/Time
Arcco,214,Rotatorio,0,214,0,94,15 min:0.59;30 min:1.00;60 min:1.80;90 min:2.60;120 min:3.37;180 min:4.91;300 min:7.97;300 min:14.00;300 min:18.52;300 min:21.54;,43.30563,-1.97371,0.59,15,http://opendata.eurohelp.es/id/Parkings/Arcco-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Arcco,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare1/Arcco,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare2/Arcco,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Arcco/fare2/Time
Atotxa,210,Rotatorio,0,210,0,148,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.31855,-1.97548,0.66,15,http://opendata.eurohelp.es/id/Parkings/Atotxa-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare1/Atotxa,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare2/Atotxa,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Atotxa/fare2/Time
Boulevard,381,Mixto,135,516,0,263,15 min:0.79;30 min:1.33;60 min:2.40;90 min:3.47;120 min:4.49;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32283,-1.98192,0.79,15,http://opendata.eurohelp.es/id/Parkings/Boulevard-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare1/Boulevard,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare2/Boulevard,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Boulevard/fare2/Time
Buen Pastor,384,Mixto,583,967,1,256,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.31715,-1.98102,0.66,15,http://opendata.eurohelp.es/id/Parkings/Buen-Pastor-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare1/Buen-Pastor,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare2/Buen-Pastor,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Buen-Pastor/fare2/Time
Easo,146,Mixto,266,412,0,114,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.313157,-1.982078,0.66,15,http://opendata.eurohelp.es/id/Parkings/Easo-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Easo,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare1/Easo,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare2/Easo,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Easo/fare2/Time
Illumbe,500,Rotatorio,0,500,0,0,15 min:0.50;30 min:0.75;60 min:1.50;90 min:2.20;120 min:2.80;180 min:4.30;300 min:7;300 min:12.55;300 min:16.70;300 min:19.50;,43.29809,-1.97004,0.50,15,http://opendata.eurohelp.es/id/Parkings/Illumbe-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare1/Illumbe,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare2/Illumbe,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Illumbe/fare2/Time
Katalunia,456,Mixto,483,939,84,313,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.323848,-1.975168,0.66,15,http://opendata.eurohelp.es/id/Parkings/Katalunia-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare1/Katalunia,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare2/Katalunia,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Katalunia/fare2/Time
Kontxa,655,Mixto,619,1274,87,444,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.318622,-1.984886,0.79,15,http://opendata.eurohelp.es/id/Parkings/Kontxa-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare1/Kontxa,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare2/Kontxa,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Kontxa/fare2/Time
Kursaal,300,Mixto,200,500,0,195,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32468,-1.97728,0.79,15,http://opendata.eurohelp.es/id/Parkings/Kursaal-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare1/Kursaal,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare2/Kursaal,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Kursaal/fare2/Time
Okendo,748,Mixto,744,1492,27,483,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.32111,-1.979149,0.79,15,http://opendata.eurohelp.es/id/Parkings/Okendo-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Okendo,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare1/Okendo,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare2/Okendo,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Okendo/fare2/Time
Pio XII,339,Mixto,181,520,16,213,15 min:0.59;30 min:0.99;60 min:1.79;90 min:2.59;120 min:3.35;180 min:4.88;300 min:7.94;300 min:14.01;300 min:18.50;300 min:21.50;,43.307806,-1.978186,0.59,15,http://opendata.eurohelp.es/id/Parkings/Pio-XII-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare1/Pio-XII,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare2/Pio-XII,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Pio-XII/fare2/Time
San Martin,300,Mixto,300,600,2,220,15 min:0.79;30 min:1.32;60 min:2.38;90 min:3.45;120 min:4.46;180 min:6.56;300 min:11.47;300 min:20.68;300 min:23.02;300 min:24.57;,43.317876,-1.983371,0.79,15,http://opendata.eurohelp.es/id/Parkings/San-Martin-Mixto,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare1/San-Martin,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare2/San-Martin,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/San-Martin/fare2/Time
Txofre,465,Rotatorio,0,465,0,102,15 min:0.66;30 min:1.10;60 min:1.99;90 min:2.87;120 min:3.72;180 min:5.47;300 min:9.68;300 min:18.31;300 min:22.07;300 min:24.57;,43.32446,-1.9708,0.66,15,http://opendata.eurohelp.es/id/Parkings/Txofre-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Txofre,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare1/Txofre,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare2/Txofre,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Txofre/fare2/Time
Zuatzu,402,Rotatorio,0,402,0,0,15 min:0.33;30 min:0.66;60 min:1.23;90 min:1.89;120 min:2.46;180 min:3.69;300 min:6.15;300 min:11.07;300 min:14.76;300 min:16.40;,43.29541,-2.01113,0.33,15,http://opendata.eurohelp.es/id/Parkings/Zuatzu-Rotatorio,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare1/Zuatzu,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare2/Zuatzu,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare1/Price,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare1/Time,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare2/Price,http://opendata.eurohelp.es/id/Parkings/fares/Zuatzu/fare2/Time
